Fold,Epoch,Loss,Accuracy,Precision,Recall,F1 Score
5,11,0.29616729524873553,0.8887,0.8889,0.8887,0.8887
5,12,0.29724105956062435,0.8788,0.8856,0.8788,0.8783
5,13,0.29651681274648695,0.8954,0.8956,0.8954,0.8954
5,14,0.3114212491209545,0.8753,0.8767,0.8753,0.8752
5,15,0.28945583992061164,0.9029,0.9037,0.9029,0.9029
5,16,0.28862611145254163,0.8979,0.8983,0.8979,0.8979
5,17,0.30537751831469084,0.9054,0.9055,0.9054,0.9054
5,18,0.291994236291401,0.8999,0.9004,0.8999,0.8999
5,19,0.29858997813056387,0.9101,0.9101,0.9101,0.9101
5,20,0.2924164207208724,0.8897,0.8916,0.8897,0.8896
5,21,0.28304459828706013,0.8932,0.8938,0.8932,0.8932
5,22,0.28477860064733596,0.9014,0.9016,0.9014,0.9014
5,23,0.2906842542782662,0.9084,0.9084,0.9084,0.9084
5,24,0.2815773419089734,0.8947,0.8949,0.8947,0.8947
5,25,0.2872597455741867,0.9019,0.9026,0.9019,0.9019
5,26,0.2759466165351489,0.9032,0.9035,0.9032,0.9031
5,27,0.2812191972893382,0.9104,0.9104,0.9104,0.9104
5,28,0.2719271306894601,0.9116,0.9116,0.9116,0.9116
5,29,0.27476750331975164,0.9146,0.9147,0.9146,0.9146
5,30,0.26942903501173804,0.9191,0.9191,0.9191,0.9191
5,31,0.26975748214929823,0.9206,0.9207,0.9206,0.9206
5,32,0.28470221528458217,0.9079,0.9084,0.9079,0.9079
5,33,0.27188893496280625,0.9159,0.9159,0.9159,0.9159
5,34,0.27296725051507115,0.9116,0.9119,0.9116,0.9116
5,35,0.26782929010334466,0.9151,0.9153,0.9151,0.9151
5,36,0.2654774296614859,0.9183,0.9185,0.9183,0.9183
5,37,0.26205090935977676,0.9246,0.9246,0.9246,0.9246
5,38,0.26053348686250427,0.9246,0.9246,0.9246,0.9246
5,39,0.2673011119403536,0.9183,0.9184,0.9183,0.9183
5,40,0.26031959080506883,0.9191,0.9199,0.9191,0.9191
